,일자,식사명,식사내용
90,20030323,아침식사2,"딸기&쵸코우유,딸기잼(중),비엔나구이,야채샐러드,콘후레이크,크림스프(경양식),토스트&모닝빵"
91,20030323,점심식사,"깻잎양파겉절이,떡볶이,멕시칸샐러드,쌀밥,유부된장국,해물볶음밥"
92,20030323,저녁식사,"더운야채,돈까스(D),스위트피클,쌀밥,야채샐러드,크림스프(경양식)"
93,20030324,아침식사,"가자미찜,달래오이생채,닭죽(잔파),생선묵조림,쌀밥,우유1,콩나물국"
94,20030324,아침식사2,"딸기&쵸코우유,딸기잼(중),야채샐러드,크림스프,토스트&모닝빵,햄구이,후르츠펀치"
95,20030324,점심식사,"배추된장국,삼치무조림,쌀밥,야채튀김,어채고추장조림,콩나물무침"
96,20030324,저녁식사,"김치잡채,쇠고기야채볶음,쌀밥,열무겉절이,오징어무국,풋고추된장무침"
97,20030325,아침식사,"고등어구이,녹두죽,돌나물겉절이,새알미역국,쌀밥,우유1"
98,20030325,아침식사2,"딸기&쵸코우유,딸기잼(중),비엔나구이,야채샐러드,콘후레이크,크림스프,토스트&모닝빵"
99,20030325,점심식사,"닭야채찜,도토리묵말이,볶은땅콩조림,쌀밥,참나물겉절이,호박나물"
100,20030325,저녁식사,"갈치무조림,감자탕,깍두기(손칼),쌀밥,오이,당근,쌈장,요구르트,통마늘장아찌"
101,20030326,아침식사,"깍두기(손칼),소세지전,순두부국,쌀밥,야채죽,오징어야채볶음,우유"
102,20030326,아침식사2,"군감자,딸기&쵸코우유,딸기잼(중),삶은계란,야채샐러드,크림스프,토스트&모닝빵"
103,20030326,점심식사,"가자미튀김,쌀밥,열무겉절이,잔파맛살무침,콩나물밥,팽이버섯국"
104,20030326,저녁식사,"돈육고구마강정,두부찌개,만두국,쌀밥,우엉채조림"
105,20030327,아침식사,"감자다시마국,느타리버섯볶음,단배추겉절이,닭조림(부분),쌀밥,옥수수죽,우유"
106,20030327,아침식사2,"딸기&쵸코우유,딸기잼(중),야채샐러드,콘후레이크,크림스프,토스트&모닝빵,햄구이"
107,20030327,점심식사,"달래된장찌개,동그랑땡구이,케찹,미나리무생채,쇠고기떡볶음,쌀밥,연근조림"
108,20030327,저녁식사,"곤약메추리알조림,근대나물,깻잎양념절임,꽁치양념구이,쌀밥,어묵무국"
109,20030328,아침식사,"맛살조림,소방어무조림,쌀밥,우유,참나물겉절이,콩가루배추국,흑임자죽"
110,20030328,아침식사2,"군감자,딸기&쵸코우유,딸기잼(중),스크램블에그(경양식),야채샐러드,크림스프,토스트&모닝빵"
111,20030328,점심식사,"기장밥,깍두기(손칼),닭곰탕,두부양념장구이,식혜,오징어회무침,풋고추,쌈장"
112,20030328,저녁식사,"단무지채무침,도라지생채,돈육짜장볶음,북어해장국,쌀밥,탕수만두"
113,20030329,아침식사,"곤약조림,근대국,부추겉절이,쌀밥,우유,쭈꾸미볶음,콩죽"
114,20030329,아침식사2,"딸기&쵸코우유,딸기잼(중),야채샐러드,콘후레이크,크림스프,토스트&모닝빵"
115,20030329,점심식사,"부추전,쌀밥(사무직),칼국수,햄옥수수볶음"
116,20030329,저녁식사,"감자으깸샐러드,비후까스,스위트피클,쌀밥(사무직),야채샐러드,옥수수스프"
117,20030330,아침식사,"고구마죽2,김치볶음,깍두기(손칼),돈육두루치기,쇠고기맑은국,쌀밥,연두부양념장,우유1"
118,20030330,아침식사2,"딸기&쵸코우유,딸기잼(중),삶은계란,야채샐러드,크림스프,토스트&모닝빵,햄후르츠"
119,20030330,점심식사,"갈치구이,꽈리고추찜,생선묵조림,쌀밥,오이양파무침,콩나물국"
120,20030330,저녁식사,"갈치구이,감자채볶음,김무침,비빔된장,쌀밥,열무김치"
121,20030331,아침식사,"근대국,땅콩죽,멸치볶음,소방어무조림,쌀밥,열무겉절이,우유"
122,20030331,아침식사2,"딸기&쵸코우유,딸기잼(중),야채샐러드,크림스프(경양식),토스트&모닝빵,햄구이,후르츠펀치"
123,20030331,점심식사,"돈육두루치기,수정과,쌀밥,연근카레튀김,장터국밥"
124,20030331,저녁식사,"부추겉절이,비빔만두,삼치엿장조림,쌀밥,오징어무국,우엉조림"
125,20030401,아침식사,"감자조림,떡국,쌀밥,우유,잔멸치볶음,흑임자죽"
126,20030401,아침식사2,"딸기&쵸코우유,딸기잼(대),스크램블에그(경양식),야채샐러드,콘후레이크,크림스프(경양식),토스트&모닝빵"
127,20030401,점심식사,"꽁치소금구이,달래무생채,미역국,콩나물잡채,흑미밥"
128,20030401,저녁식사,"단배추겉절이,도토리묵양념장,쌀밥,월동초된장국,탕수어묵"
129,20030402,아침식사,"녹두죽,닭개장,미나리나물,쌀밥,오징어야채볶음,우유,치커리무생채"
130,20030402,아침식사2,"군감자,딸기&쵸코우유,딸기잼(대),삶은계란(양식),야채샐러드,크림스프(경양식),토스트&모닝빵"
131,20030402,점심식사,"갈치조림,깻잎양념절임,보리밥,북어계란국,비빔된장,수정과"
132,20030402,저녁식사,"계란찜,김치국,깍두기(손칼),쇠고기피망볶음,쌀밥,오이지무침,참나물겉절이"
133,20030403,아침식사,"느타리버섯볶음,닭죽,돈육장조림,쌀밥,우유,잔파생채,콩나물국"
134,20030403,아침식사2,"딸기&쵸코우유,딸기잼(대),비엔나구이,야채샐러드,크림스프(경양식),토스트&모닝빵,후르츠펀치"
135,20030403,점심식사,"물미역오이무침,쌀밥,아욱국,쭈꾸미볶음,참치김치볶음,통두부,양념장"
136,20030403,저녁식사,"감자수제비국,고등어양념장구이,볶은땅콩조림,쌀밥,찐고구마"
137,20030404,아침식사,"고추지무침,깍두기(손칼),두부양념장구이,설렁탕,쌀밥,오이,당근,쌈장,우유,잣죽"
138,20030404,아침식사2,"딸기&쵸코우유,딸기잼(대),스크램블에그(경양식),야채샐러드,콘후레이크,크림스프(경양식),토스트&모닝빵"
139,20030404,점심식사,"꽁치양념구이,도라지풋마늘무침,부추전,쌀밥,어묵무국,잔멸치볶음"
140,20030404,저녁식사,"대구지리(가공),돈육장조림,돌나물겉절이,시금치나물,쌀밥,햄구이"
141,20030405,아침식사,"감자다시마국,고구마죽2,곤약맛살조림,단배추달래생채,삼치엿장조림,우유,흑콩밥"
142,20030405,아침식사2,"딸기&쵸코우유,딸기잼(대),삶은계란(양식),야채샐러드,크림스프(경양식),토스트&모닝빵,햄구이(경양식)"
143,20030405,점심식사,"비빔밥,사과,팽이버섯국"
144,20030405,저녁식사,"단무지,닭다리버터구이(토막),쌀밥,알감자조림,짬뽕밥,천사채샐러드"
145,20030406,아침식사,"계란찜,단배추달래생채,쇠고기장조림,쌀밥,야채죽,우유,월동초된장국"
146,20030406,아침식사2,"딸기&쵸코우유,딸기잼(대),야채샐러드,콘후레이크,크림스프(경양식),토스트&모닝빵,햄후르츠"
147,20030406,점심식사,"돌나물겉절이,쇠고기맑은국,쌀밥,양상치샐러드,오징어회무침,카레라이스"
148,20030406,저녁식사,"꽃게매운탕,돈육불고기,식혜,쌀밥,양배추생채,통도라지조림"
149,20030407,아침식사,"꽁치양념구이,부추겉절이,생선묵조림,순두부국,쌀밥,알땅콩죽,우유1"
150,20030407,아침식사2,"딸기잼(대),스크램블에그(경양식),야채샐러드,우유,크림스프(경양식),토스트&모닝빵,햄구이(경양식)"
151,20030407,점심식사,"꽈리고추찜,닭불고기(180),쌀밥,오이양파무침,콩나물국,표고피망볶음"
152,20030407,저녁식사,"계란탕,김치잡채,도라지생채,요구르트,자장밥,탕수육"
153,20030408,아침식사,"감자수제비국,고구마죽2,곤약잔멸치조림,쌀밥,쑥갓두부무침,오징어야채볶음,우유1"
154,20030408,아침식사2,"군감자,딸기잼(대),야채샐러드,우유,콘후레이크,크림스프(경양식),토스트&모닝빵"
155,20030408,점심식사,"계란찜,동태매운탕(가공),쇠고기야채볶음,쌀밥,우엉채조림,잔파생채"
156,20030408,저녁식사,"고등어무조림,근대국,깍두기(손칼),맛살조림,배추겉절이,쌀밥,야채튀김"
157,20030409,아침식사,"갈치조림,녹두죽,두부찌개,들깨미역국,쌀밥,우유1,월동초나물"
158,20030409,아침식사2,"딸기잼(대),삶은계란(양식),야채샐러드,우유,크림스프(경양식),토스트&모닝빵,햄후르츠"
159,20030409,점심식사,"곰탕,깍두기(손칼),대추차,쌀밥,알감자조림,오이,풋고추,쌈장,오징어젓무침"
160,20030409,저녁식사,"닭갈비,도토리묵말이,볶은땅콩조림,생선묵조림,쌀밥,열무겉절이"
161,20030410,아침식사,"깻잎양념절임,닭죽,돈육장조림,북어계란국,쌀밥,어채볶음,우유1"
162,20030410,아침식사2,"딸기잼(대),비엔나구이,스크램블에그(경양식),야채샐러드,우유,크림스프(경양식),토스트&모닝빵(양식)"
163,20030410,점심식사,"감자채볶음,달래된장찌개,메추리알조림,생선까스,쌀밥,참나물겉절이"
164,20030410,저녁식사,"돈육두루치기,시금치나물(90),찐만두,콩나물밥,팽이버섯국,호박나물"
165,20030411,아침식사,"땅콩흑콩조림,삼치엿장조림,숙주나물,쌀밥,아욱국,우유1,콩죽"
166,20030411,아침식사2,"딸기잼(대),야채샐러드,우유,콘후레이크,크림스프(경양식),토스트&모닝빵(양식),후르츠펀치"
167,20030411,점심식사,"건새우호박국,불고기낙지찌개,소면사리,쌀밥,잔파맛살무침,콩나물무침"
168,20030411,저녁식사,"김치볶음,깍두기(손칼),단배추달래생채,쇠고기당면볶음,쌀밥,어묵무국,연두부양념장"
169,20030412,아침식사,"김치국,깍두기(손칼),돈육불고기,떡야채볶음,미나리나물,쌀밥,우유1,흑임자죽"
170,20030412,아침식사2,"군감자,딸기잼(대),스크램블에그(경양식),야채샐러드,우유,크림스프(경양식),토스트&모닝빵"
171,20030412,점심식사,"도라지풋마늘무침,떡만두국,오징어볼탕수"
172,20030412,저녁식사,"갈치찜,느타리버섯볶음,다시마채무침(무),쌀밥,육개장"
173,20030413,아침식사,"가자미구이,비엔나케찹볶음,쇠고기맑은국,쌀밥,야채죽,열무겉절이,우유1"
174,20030413,아침식사2,"딸기잼(대),삶은계란(양식),야채샐러드,우유,크림스프(경양식),토스트&모닝빵(양식),햄구이(경양식)"
175,20030413,점심식사,"꽁치소금구이,돌나물겉절이,동그랑땡구이,케찹,마카로니샐러드,새알미역국,쌀밥"
176,20030413,저녁식사,"갈치호박조림,부추김무침,삼겹살구이2,상추,풋고추,쌈장,쌀밥,연근조림,콩나물국"
177,20030414,아침식사,"감자고추장찌개,생선묵조림,쇠고기야채볶음,쌀밥,우유,콩나물죽,풋마늘생채"
178,20030414,아침식사2,"군감자,딸기잼(대),야채샐러드,우유,콘후레이크,크림스프(경양식),토스트&모닝빵(양식)"
179,20030414,점심식사,"기장밥,돈육마늘장조림,북어계란국,어채볶음,월동초겉절이,호박나물"
180,20030414,저녁식사,"건미역오이초무침,깍두기(손칼),사골우거지탕,소방어무조림,쌀밥,알감자조림"
181,20030415,아침식사,"녹두죽,양송이피망볶음,오징어회무침,우유,장터국밥"
182,20030415,아침식사2,"딸기잼(대),스크램블에그(경양식),야채샐러드,우유,크림스프(경양식),토스트&모닝빵,햄구이(경양식)"
183,20030415,점심식사,"근대국,동태무조림(가공),두부양념장구이,시금치나물(90),쌀밥,연근조림"
184,20030415,저녁식사,"건취나물볶음,꽁치양념구이,달래양념장,돌나물겉절이,미역국,영양밥"
185,20030416,아침식사,"고등어구이,맛살조림,쌀밥,옥수수죽,우유,참나물겉절이,콩가루배추국(단배추)-사용불가"
186,20030416,아침식사2,"딸기잼(대),삶은계란(양식),야채샐러드,우유,크림스프(경양식),토스트&모닝빵(양식),후르츠펀치"
187,20030416,점심식사,"돈육불고기,보리밥,비빔된장,식혜,열무김치,콩나물국"
188,20030416,저녁식사,"깍두기(손칼),닭곰탕,쌀밥,오이생채,오징어통회,풋고추된장무침"
189,20030417,아침식사,"쌀밥,야채죽,오징어무국,우유,잔파김무침,통도라지조림"
190,20030417,아침식사2,"군감자,딸기잼(대),야채샐러드,우유,콘후레이크,크림스프(경양식),토스트&모닝빵"
191,20030417,점심식사,"김치전,깍두기(손칼),버섯야채국,부추겉절이,삼치엿장조림,쌀밥,잔멸치볶음"
192,20030417,저녁식사,"건새우아욱국,두부강정,쇠불고기,쌀밥,치커리무생채,흑콩조림"
193,20030418,아침식사,"꽁치깻잎조림,냉이된장찌개,다시마채무침(무),비엔나케찹볶음,쌀밥,우유,흑임자죽"
194,20030418,아침식사2,"딸기잼(대),비엔나구이,스크램블에그(경양식),야채샐러드,우유,크림스프(경양식),토스트&모닝빵(양식)"
195,20030418,점심식사,"닭파인애플조림(토막),돈육우엉조림,물만두국,쌀밥,양배추쌈,어묵간장조림"
196,20030418,저녁식사,"가자미양념장구이,들깨무채국,미나리나물,쫄면야채무침,카레라이스"
197,20030419,아침식사,"두부조림,쌀밥,우유,월동초나물,육개장,잣죽,쭈꾸미볶음"
198,20030419,아침식사2,"딸기잼(대),야채샐러드,우유,콘후레이크,크림스프(경양식),토스트&모닝빵,후르츠펀치"
199,20030419,점심식사,"떡볶이,메추리알조림,쌀밥(사무직),잔치국수,콩나물무침"
200,20030419,저녁식사,"달래된장찌개,도라지생채,도토리묵상추무침,돈육장조림,쌀밥,햄구이"
201,20030420,아침식사,"가자미양념장구이,소세지삼색볶음,쌀밥,쑥국,알땅콩죽,열무겉절이,우유"
202,20030420,아침식사2,"군감자,딸기잼(대),삶은계란(양식),야채샐러드,우유,크림스프(경양식),토스트&모닝빵(양식)"
203,20030420,점심식사,"깻잎양념절임,닭개장,쌀밥,잡채(생선묵):연,해물부추전"
204,20030420,저녁식사,"감자튀김(경양식),단무지,비후까스,쌀밥,양상치샐러드,옥수수스프"
205,20030421,아침식사,"고구마죽,도토리묵말이,돈등심케찹조림,쌀밥,우엉채조림,우유1,콩나물무침"
206,20030421,아침식사2,"딸기잼(대),스크램블에그(경양식),야채샐러드,우유,콘후레이크,크림스프(경양식),토스트&모닝빵(양식)"
207,20030421,점심식사,"근대국,깍두기(손칼),멕시칸샐러드,쇠고기덮밥,월동초겉절이,해파리냉채"
208,20030421,저녁식사,"갈치찜,감자탕,깍두기(손칼),깐마늘고추장무침,꽈리고추찜,쌀밥"
209,20030422,아침식사,"건새우호박국,소방어무조림,쌀밥,열무된장무침,우유1,잔멸치볶음,콩죽"
210,20030422,아침식사2,"군감자,딸기잼(대),야채샐러드,우유,크림스프(경양식),토스트&모닝빵,햄구이(경양식)"
211,20030422,점심식사,"깻잎양념절임,돈육장조림,알감자조림,오징어회무침,완두콩밥,콩나물국"
212,20030422,저녁식사,"깐마늘고추장무침,닭불고기(180),부추전,북어무국,상추쌈,쌀밥"
213,20030423,아침식사,"고등어구이,김치국,깍두기(손칼),녹두죽,두부조림,미역줄기볶음,쌀밥,우유1"
214,20030423,아침식사2,"감자튀김(경양식),딸기잼(대),삶은계란(양식),야채샐러드,우유,크림스프(경양식),토스트&모닝빵(양식)"
215,20030423,점심식사,"비빔밥,요구르트,콩가루배추국(단배추)-사용불가"
216,20030423,저녁식사,"돈육야채볶음,동태매운탕(가공),생선묵조림,쌀밥,참나물겉절이,통마늘장아찌"
217,20030424,아침식사,"감자채볶음,근대나물,버섯죽,쌀밥,열무된장국,오징어야채볶음,우유1"
218,20030424,아침식사2,"딸기잼(대),비엔나구이,야채샐러드,우유,콘후레이크,크림스프(경양식),토스트&모닝빵"
219,20030424,점심식사,"잔파김무침,짬뽕밥(가공),탕수육,해초샐러드"
220,20030424,저녁식사,"감자수제비국,김치볶음,깍두기(손칼),삼치무조림,쌀밥,통두부,양념장"
221,20030425,아침식사,"깍두기(손칼),돈육햄장조림,배추겉절이,쌀밥,알땅콩죽,우유1,팽이버섯국"
222,20030425,아침식사2,"군감자,딸기잼(대),스크램블에그(경양식),야채샐러드,우유,크림스프(경양식),토스트&모닝빵(양식)"
223,20030425,점심식사,"감자전,깍두기(손칼),닭백숙,도토리묵상추무침,수정과,쌀밥,풋고추,쌈장"
224,20030425,저녁식사,"꽁치양념구이,돌나물겉절이,소세지삼색볶음,쌀밥,어묵쑥갓무국,통도라지조림"
225,20030426,아침식사,"고사리들깨무침,닭불고기(180),미역국,부추겉절이,쌀밥,우유1,흰죽"
226,20030426,아침식사2,"딸기잼(대),삶은계란(양식),야채샐러드,우유,크림스프(경양식),토스트&모닝빵,햄후르츠"
227,20030426,점심식사,"군감자,다시마채무침(무),메추리알햄조림,쌀밥,칼국수"
228,20030426,저녁식사,"단무지,생선까스,쇠고기콩나물국1,연근조림,하이라이스(돈)"
229,20030427,아침식사,"갈치찜,쌀밥,야채죽,어채볶음,오징어무국,우유1,콩나물무침"
230,20030427,아침식사2,"딸기잼(대),야채샐러드,우유,콘후레이크,크림스프(경양식),토스트&모닝빵(양식),햄구이(경양식)"
231,20030427,점심식사,"가자미양념장구이,깍두기(손칼),쌀밥,쑥갓양파겉절이,풋고추된장무침,해장국(목뼈)"
232,20030427,저녁식사,"계란탕,김치볶음밥,깍두기(손칼),떡볶이,찐만두,천사채샐러드,호박나물"
